Department,job_count,demand_score
Administration & Support,11,0.2
Agriculture & Environmental,5,0.09090909090909091
Arts & Media,3,0.05454545454545454
Business,48,0.8727272727272727
Education,8,0.14545454545454545
Engineering,6,0.10909090909090909
Finance & Accounting,21,0.38181818181818183
Healthcare & Medical,9,0.16363636363636364
Hospitality & Tourism,3,0.05454545454545454
Human Resources,22,0.4
Information Technology,55,1.0
Legal & Compliance,5,0.09090909090909091
Marketing & Sales,15,0.2727272727272727
Other,33,0.6
Security & Protective Services,1,0.01818181818181818
Social Sciences & Community,5,0.09090909090909091
